[2025-07-24T02:25:19.573+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.609+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TechAndUrbanGrowth.ingestion_urbanization_data manual__2025-07-24T02:25:12.724720+00:00 [queued]>
[2025-07-24T02:25:19.613+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-07-24T02:34:34.257+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:34:34.531+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para A, registros: 0
[2025-07-24T02:34:34.830+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:35.149+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para V, registros: 0
[2025-07-24T02:34:35.697+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para C, registros: 0
[2025-07-24T02:34:35.983+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para T, registros: 0
[2025-07-24T02:34:36.304+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:36.671+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para S, registros: 0
[2025-07-24T02:34:36.974+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para U, registros: 0
[2025-07-24T02:34:37.285+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para R, registros: 0
[2025-07-24T02:34:37.723+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:38.151+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para T, registros: 0
[2025-07-24T02:34:38.536+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para T, registros: 0
[2025-07-24T02:34:38.887+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para O, registros: 0
[2025-07-24T02:34:39.224+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:39.588+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para U, registros: 0
[2025-07-24T02:34:40.031+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para R, registros: 0
[2025-07-24T02:34:40.408+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para Y, registros: 0
[2025-07-24T02:34:40.794+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:41.129+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para U, registros: 0
[2025-07-24T02:34:41.449+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para S, registros: 0
[2025-07-24T02:34:41.813+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para A, registros: 0
[2025-07-24T02:34:42.151+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para ;, registros: 0
[2025-07-24T02:34:42.446+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para V, registros: 0
[2025-07-24T02:34:42.856+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para E, registros: 0
[2025-07-24T02:34:43.152+0000] {ingestion_2.py:35} INFO - ✔ Datos urbanización obtenidos para N, registros: 0
[2025-07-24T02:34:43.587+0000] {ingestion_2.py:42} INFO - ✔ Total registros urbanización obtenidos: 0
[2025-07-24T02:34:43.615+0000] {python.py:201} INFO - Done. Returned value was: None
[2025-07-24T02:34:43.736+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=TechAndUrbanGrowth, task_id=ingestion_urbanization_data, execution_date=20250724T022512, start_date=20250724T022519, end_date=20250724T023443
[2025-07-24T02:34:43.938+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2025-07-24T02:34:44.291+0000] {taskinstance.py:3280} INFO - 1 downstream tasks scheduled from follow-on schedule check
